buoy,url,name,lat,lon
42039,https://www.ndbc.noaa.gov/data/latest_obs/42039.rss,"PENSACOLA - 115NM SSE of Pensacola, FL Observations""",28.78666667,-86.00666667
42040,https://www.ndbc.noaa.gov/data/latest_obs/42040.rss,"LUKE OFFSHORE TEST PLATFORM - 63 NM South of Dauphin Island, AL Observations""",29.20666667,-88.23666667
42055,https://www.ndbc.noaa.gov/data/latest_obs/42055.rss,"BAY OF CAMPECHE - 214 NM NE of Veracruz, MX Observations""",22.12333333,-93.94
42056,https://www.ndbc.noaa.gov/data/latest_obs/42056.rss,"Yucatan Basin - 120 NM ESE of Cozumel, MX Observations""",19.82,-84.945
42059,https://www.ndbc.noaa.gov/data/latest_obs/42059.rss,"Eastern Caribbean Sea - 180 NM SSW of Ponce, PR Observations""",15.3,-67.48333333
42060,https://www.ndbc.noaa.gov/data/latest_obs/42060.rss,"Caribbean Valley - 63 NM WSW of Montserrat Observations""",16.43333333,-63.32833333
44005,https://www.ndbc.noaa.gov/data/latest_obs/44005.rss,"GULF OF MAINE - 78 NM East of Portsmouth, NH Observations""",43.2,-69.12666667
44007,https://www.ndbc.noaa.gov/data/latest_obs/44007.rss,"PORTLAND - 12 NM Southeast of Portland,ME Observations""",43.525,-70.14
44008,https://www.ndbc.noaa.gov/data/latest_obs/44008.rss,"NANTUCKET 54 NM Southeast of Nantucket Observations""",40.495,-69.25
44009,https://www.ndbc.noaa.gov/data/latest_obs/44009.rss,"DELAWARE BAY 26 NM Southeast of Cape May, NJ Observations""",38.46,-74.69166667
44011,https://www.ndbc.noaa.gov/data/latest_obs/44011.rss,"GEORGES BANK 170 NM East of Hyannis, MA Observations""",41.09333333,-66.56166667
44013,https://www.ndbc.noaa.gov/data/latest_obs/44013.rss,"BOSTON 16 NM East of Boston, MA Observations""",42.345,-70.65166667
44017,https://www.ndbc.noaa.gov/data/latest_obs/44017.rss,"MONTAUK POINT - 23 NM SSW of Montauk Point, NY Observations""",,
44018,https://www.ndbc.noaa.gov/data/latest_obs/44018.rss,"CAPE COD - 9 NM North of Provincetown, MA Observations""",42.20333333,-70.15333333
44020,https://www.ndbc.noaa.gov/data/latest_obs/44020.rss,"NANTUCKET SOUND Observations""",41.49333333,-70.27833333
44025,https://www.ndbc.noaa.gov/data/latest_obs/44025.rss,"LONG ISLAND - 30 NM South of Islip, NY Observations""",40.25166667,-73.165
44027,https://www.ndbc.noaa.gov/data/latest_obs/44027.rss,"Jonesport, ME - 20 NM SE of Jonesport, ME Observations""",44.28333333,-67.3
44065,https://www.ndbc.noaa.gov/data/latest_obs/44065.rss,"New York Harbor Entrance - 15 NM SE of Breezy Point , NY Observations""",40.37,-73.70333333
44066,https://www.ndbc.noaa.gov/data/latest_obs/44066.rss,"Texas Tower #4 - 75 NM East of Long Beach, NJ Observations""",39.61833333,-72.645
45003,https://www.ndbc.noaa.gov/data/latest_obs/45003.rss,"NORTH HURON - 32NM Northeast of Alpena, MI Observations""",,
45005,https://www.ndbc.noaa.gov/data/latest_obs/45005.rss,"WEST ERIE - 16 NM NW of Lorain, OH Observations""",,
45008,https://www.ndbc.noaa.gov/data/latest_obs/45008.rss,"SOUTH HURON - 43NM East of Oscoda, MI Observations""",,
45012,https://www.ndbc.noaa.gov/data/latest_obs/45012.rss,"EAST Lake Ontario  - 20NM North Northeast of Rochester, NY Observations""",,
46002,https://www.ndbc.noaa.gov/data/latest_obs/46002.rss,"WEST OREGON - 275NM West of Coos Bay, OR Observations""",42.66166667,-130.5066667
46005,https://www.ndbc.noaa.gov/data/latest_obs/46005.rss,"WEST WASHINGTON - 300NM West of Aberdeen, WA Observations""",46.13333333,-131.0783333
46006,https://www.ndbc.noaa.gov/data/latest_obs/46006.rss,"SOUTHEAST PAPA - 600NM West of Eureka, CA Observations""",40.765,-137.3766667
46011,https://www.ndbc.noaa.gov/data/latest_obs/46011.rss,"SANTA MARIA - 21NM NW of Point Arguello, CA Observations""",34.93666667,-120.9983333
46012,https://www.ndbc.noaa.gov/data/latest_obs/46012.rss,"HALF MOON BAY - 24NM SSW of San Francisco, CA Observations""",37.355,-122.8816667
46013,https://www.ndbc.noaa.gov/data/latest_obs/46013.rss,"BODEGA BAY - 48NM NW of San Francisco, CA Observations""",38.235,-123.3166667
46014,https://www.ndbc.noaa.gov/data/latest_obs/46014.rss,"PT ARENA - 19NM North of Point Arena, CA Observations""",39.23166667,-123.9733333
46022,https://www.ndbc.noaa.gov/data/latest_obs/46022.rss,"EEL RIVER - 17NM WSW of Eureka, CA Observations""",,
46025,https://www.ndbc.noaa.gov/data/latest_obs/46025.rss,"Santa Monica Basin - 33NM WSW of Santa Monica, CA Observations""",33.755,-119.045
46026,https://www.ndbc.noaa.gov/data/latest_obs/46026.rss,"SAN FRANCISCO - 18NM West of San Francisco, CA Observations""",37.75333333,-122.8383333
46027,https://www.ndbc.noaa.gov/data/latest_obs/46027.rss,"ST GEORGES - 8 NM NW of Crescent City, CA Observations""",41.84,-124.3816667
46028,https://www.ndbc.noaa.gov/data/latest_obs/46028.rss,"CAPE SAN MARTIN - 55NM West NW of Morro Bay, CA Observations""",35.77,-121.9033333
46029,https://www.ndbc.noaa.gov/data/latest_obs/46029.rss,"COLUMBIA RIVER BAR - 20NM West of Columbia River Mouth Observations""",46.16333333,-124.4866667
46035,https://www.ndbc.noaa.gov/data/latest_obs/46035.rss,"CENTRAL BERING SEA - 310 NM North of Adak, AK Observations""",57.015,-177.7033333
46041,https://www.ndbc.noaa.gov/data/latest_obs/46041.rss,"CAPE ELIZABETH - 45NM NW of Aberdeen, WA Observations""",47.35166667,-124.74
46042,https://www.ndbc.noaa.gov/data/latest_obs/46042.rss,"MONTEREY - 27NM WNW of Monterey, CA Observations""",36.785,-122.3966667
46047,https://www.ndbc.noaa.gov/data/latest_obs/46047.rss,"TANNER BANK - 121 NM West of San Diego, CA Observations""",32.38833333,-119.525
46050,https://www.ndbc.noaa.gov/data/latest_obs/46050.rss,"STONEWALL BANK - 20NM West of Newport, OR Observations""",44.66833333,-124.5466667
46053,https://www.ndbc.noaa.gov/data/latest_obs/46053.rss,"EAST SANTA BARBARA  - 12NM Southwest of Santa Barbara, CA Observations""",34.24,-119.8383333
46054,https://www.ndbc.noaa.gov/data/latest_obs/46054.rss,"WEST SANTA BARBARA  38 NM West of Santa Barbara, CA Observations""",34.27333333,-120.4683333
46059,https://www.ndbc.noaa.gov/data/latest_obs/46059.rss,"WEST CALIFORNIA - 357NM West of San Francisco, CA Observations""",38.05333333,-129.9666667
46060,https://www.ndbc.noaa.gov/data/latest_obs/46060.rss,"WEST ORCA BAY - 8NM NW of Hinchinbrook Is., AK Observations""",,
46061,https://www.ndbc.noaa.gov/data/latest_obs/46061.rss,"Seal Rocks - Between Montague and Hinchinbrook Islands, AK Observations""",60.23833333,-146.8333333
46066,https://www.ndbc.noaa.gov/data/latest_obs/46066.rss,"SOUTH KODIAK - 310NM SSW of Kodiak, AK Observations""",52.765,-155.0083333
46069,https://www.ndbc.noaa.gov/data/latest_obs/46069.rss,"SOUTH SANTA ROSA IS. CA Observations""",33.67666667,-120.2133333
46071,https://www.ndbc.noaa.gov/data/latest_obs/46071.rss,"WESTERN ALEUTIANS - 14NM SOUTH OF AMCHITKA IS, AK Observations""",,
46072,https://www.ndbc.noaa.gov/data/latest_obs/46072.rss,"CENTRAL ALEUTIANS 230 NM SW Dutch Harbor Observations""",51.66666667,-172.115
46073,https://www.ndbc.noaa.gov/data/latest_obs/46073.rss,"SOUTHEAST BERING SEA - 205 NM WNW of Dutch Harbor, AK Observations""",55.00833333,-172.0116667
46075,https://www.ndbc.noaa.gov/data/latest_obs/46075.rss,"SHUMAGIN ISLANDS - 85NM South of Sand Point, AK Observations""",53.96833333,-160.7933333
46076,https://www.ndbc.noaa.gov/data/latest_obs/46076.rss,"CAPE CLEARE - 17 NM South of Montague Is,  AK Observations""",59.47166667,-148.0083333
46077,https://www.ndbc.noaa.gov/data/latest_obs/46077.rss,"SHELIKOF STRAIT, AK Observations""",57.86833333,-154.2116667
46078,https://www.ndbc.noaa.gov/data/latest_obs/46078.rss,"ALBATROSS BANK - 104NM South of Kodiak Is., AK Observations""",55.55833333,-152.64
46080,https://www.ndbc.noaa.gov/data/latest_obs/46080.rss,"PORTLOCK BANK- 76 NM ENE of Kodiak, AK Observations""",57.94833333,-150.0416667
46081,https://www.ndbc.noaa.gov/data/latest_obs/46081.rss,"Western Prince William Sound Observations""",60.80166667,-148.2833333
46082,https://www.ndbc.noaa.gov/data/latest_obs/46082.rss,"Cape Suckling - 35 NM SE of Kayak Is, AK Observations""",59.67,-143.3533333
46083,https://www.ndbc.noaa.gov/data/latest_obs/46083.rss,"FAIRWEATHER GROUND - 105 NM West  of Juneau, AK Observations""",58.27,-138.0183333
46084,https://www.ndbc.noaa.gov/data/latest_obs/46084.rss,"CAPE EDGECUMBE - 25NM SSW of Cape Edgecumbe, AK Observations""",56.62166667,-136.1016667
46086,https://www.ndbc.noaa.gov/data/latest_obs/46086.rss,"SAN CLEMENTE BASIN - 27NM SE Of San Clemente Is, CA Observations""",32.49833333,-118.0516667
46087,https://www.ndbc.noaa.gov/data/latest_obs/46087.rss,"Neah Bay - 6 NM North of Cape Flattery, WA (Traffic Separation Lighted Buoy) Observations""",48.49333333,-124.7266667
46088,https://www.ndbc.noaa.gov/data/latest_obs/46088.rss,"NEW DUNGENESS - 17 NM NE of Port Angeles, WA Observations""",48.33166667,-123.1783333
46089,https://www.ndbc.noaa.gov/data/latest_obs/46089.rss,"TILLAMOOK, OR - 85 NM WNW of Tillamook, OR Observations""",45.935,-125.7933333
51000,https://www.ndbc.noaa.gov/data/latest_obs/51000.rss,"NORTHERN HAWAII ONE - 245NM NE of Honolulu HI Observations""",23.52833333,-153.7916667
51001,https://www.ndbc.noaa.gov/data/latest_obs/51001.rss,"NORTHWESTERN HAWAII ONE - 188 NM NW of Kauai Island, HI Observations""",24.45166667,-162.0083333
51002,https://www.ndbc.noaa.gov/data/latest_obs/51002.rss,"SOUTHWEST HAWAII - 215NM SSW of Hilo, HI Observations""",17.04166667,-157.7466667
51003,https://www.ndbc.noaa.gov/data/latest_obs/51003.rss,"WESTERN  HAWAII - 205 NM SW of Honolulu, HI Observations""",19.19666667,-160.6383333
51004,https://www.ndbc.noaa.gov/data/latest_obs/51004.rss,"SOUTHEAST HAWAII - 205 NM Southeast of Hilo, HI Observations""",17.53833333,-152.23
51101,https://www.ndbc.noaa.gov/data/latest_obs/51101.rss,"NORTHWESTERN HAWAII TWO - 186 NM NW of Kauai Is., HI   Observations""",24.35833333,-162.0816667
